Rk,Name,Age,Debut,Last Game,Pos,Tm,WAR,Ht,Wt,B,T,Birthdate,Birthplace,Draft/Signing,Schools,High School,Given Name,Name-additional
19,Casey Blake,25.356,Aug 14,Aug 31 2011,5,TOR,24.9,6-2,205,R,R,Aug 23 1973,Des Moines IA US,Drafted by the Toronto Blue Jays in the 7th round of the 1996 amateur draft. Player signed June 6 1996.,Wichita State University (Wichita KS),Indianola HS (Indianola IA),William Casey,blakeca01
20,Geoff Blum,26.105,Aug 9,Jul 17 2012,6/H4,MON,3.3,6-3,220,B,R,Apr 26 1973,Redwood City CA US,Drafted by the Montreal Expos in the 7th round of the 1994 amateur draft. Player signed June 22 1994.,University of California Berkeley (Berkeley CA),Chino HS (Chino CA),Geoffrey Edward,blumge01
21,Dave Borkowski,22.160,Jul 17,Sep 27 2008,1,DET,-2.2,6-1,200,R,R,Feb 7 1977,Detroit MI US,Drafted by the Detroit Tigers in the 11th round of the 1995 amateur draft. Player signed June 12 1995.,,Sterling Heights HS (Sterling Heights MI),David Richard,borkoda01
22,Micah Bowie,24.256,Jul 24,Apr 21 2008,/1,ATL,-0.9,6-4,185,L,L,Nov 10 1974,Humble TX US,Drafted by the Atlanta Braves in the 8th round of the 1993 amateur draft. Player signed July 15 1993.,,Kingwood HS (Kingwood TX),Micah Andrew,bowiemi01
23,Jason Boyd,26.199,Sep 10,May 13 2004,/1,PIT,-1.4,6-3,170,R,R,Feb 23 1973,St. Clair IL US,Drafted by the Philadelphia Phillies in the 8th round of the 1994 amateur draft. Player signed June 7 1994.,John A. Logan College (Carterville IL),Edwardsville HS (Edwardsville IL),Jason Pernell,boydja02
24,Jim Brower,26.250,Sep 5,Aug 14 2007,/1,CLE,3.0,6-2,205,R,R,Dec 29 1972,Edina MN US,Drafted by the Texas Rangers in the 6th round of the 1994 amateur draft. Player signed June 5 1994.,University of Minnesota (Minneapolis MN),Minnetonka HS (Minnetonka MN),James Robert,broweji01
25,Roosevelt Brown,23.288,May 18,Sep 29 2002,H7/89,CHC,-0.8,5-11,195,L,R,Aug 3 1975,Vicksburg MS US,Drafted by the Atlanta Braves in the 20th round of the 1993 amateur draft. Player signed June 6 1993.,,Vicksburg HS (Vicksburg MS),Roosevelt Lawayne,brownro02
26,A.J. Burnett,22.226,Aug 17,Oct 3 2015,/1,FLA,28.8,6-4,230,R,R,Jan 3 1977,North Little Rock AR US,Drafted by the New York Mets in the 8th round of the 1995 amateur draft. Player signed June 13 1995.,,Central Arkansas Christian HS (North Little Rock AR),Allan James,burnea.01
27,Mickey Callaway,24.030,Jun 12,Aug 21 2004,/1DH,TBD,-1.5,6-2,190,R,R,May 13 1975,Memphis TN US,Drafted by the Tampa Bay Devil Rays in the 7th round of the 1996 amateur draft. Player signed June 10 1996.,University of Mississippi (Oxford MS),Germantown HS (Germantown TN),Michael Christopher,callami01
28,Robinson Cancel,23.122,Sep 3,Jun 5 2011,2,MIL,-0.4,5-11,225,R,R,May 4 1976,Lajas PR,Drafted by the Milwaukee Brewers in the 16th round of the 1994 amateur draft. Player signed June 7 1994.,,Laja (Laja Puerto Rico) Leonides Morales HS (Lajas Puerto Rico),Robinson Castro,cancero01
29,Buddy Carlyle,21.251,Aug 29,May 11 2015,/1,SDP,-1.3,6-3,210,L,R,Dec 21 1977,Omaha NE US,Drafted by the Cincinnati Reds in the 2nd round of the 1996 amateur draft. Player signed June 21 1996.,Texarkana College (Texarkana TX),Bellevue East HS (Bellevue NE) Bellevue HS (Bellevue NE),Earl Lester,carlybu01
30,Lance Carter,24.271,Sep 15,May 26 2006,/1,KCR,3.2,6-1,190,R,R,Dec 18 1974,Bradenton FL US,Drafted by the Kansas City Royals in the 21st round of the 1994 amateur draft. Player signed June 12 1994.,State College of Florida Manatee-Sarasota (Bradenton FL),Manatee HS (Bradenton FL),Lance David,cartela02
31,Ramón Castro,23.179,Aug 27,Jul 9 2011,2,FLA,3.0,6-3,240,R,R,Mar 1 1976,Vega Baja PR,Drafted by the Houston Astros in the 1st round (17th pick) of the 1994 amateur draft. Player signed June 2 1994.,,Lino Padron Rivera (Vega Baja Puerto Rico) Vega Baja (Vega Baja Puerto Rico),Ramón Abraham,castrra01
32,McKay Christensen,23.235,Apr 6,Apr 7 2002,8/H,CHW,-0.3,5-11,180,L,L,Aug 14 1975,Upland CA US,Drafted by the California Angels in the 1st round (6th pick) of the 1994 amateur draft. Player signed July 28 1994.,Brigham Young University (Provo UT),Clovis West HS (Fresno CA),McKay Andrew,chrismc01
33,Chris Clapinski,27.331,Jul 17,Sep 24 2000,H/5674D,FLA,0.4,6-0,175,B,R,Aug 20 1971,Buffalo NY US,Signed by the Florida Marlins as an amateur free agent in 1992.,University of California Berkeley (Berkeley CA),Palm Desert HS (Palm Desert CA),Christopher Alan,clapich01
34,Mike Colangelo,22.234,Jun 13,May 2 2002,/7,ANA,-0.8,6-1,185,R,R,Oct 22 1976,Teaneck NJ US,Drafted by the Anaheim Angels in the 21st round of the 1997 amateur draft. Player signed August 19 1997.,George Mason University (Fairfax VA),C. D. Hylton HS (Woodbridge VA),Michael Gus,colanmi01
35,Brian Cooper,25.019,Sep 7,Sep 28 2005,/1,ANA,-0.4,6-1,175,R,R,Aug 19 1974,Hollywood CA US,Drafted by the California Angels in the 4th round of the 1995 amateur draft. Player signed June 17 1995.,Citrus College (Glendora CA) University of Southern California (Los Angeles CA),Glendora HS (Glendora CA),Brian John,coopebr01
36,Trace Coquillette,25.095,Sep 7,Oct 1 2000,5/4,MON,-0.3,6-0,165,R,R,Jun 4 1974,Carmichael CA US,Drafted by the Montreal Expos in the 10th round of the 1993 amateur draft. Player signed June 7 1993.,Sacramento City College (Sacramento CA),Casa Roble Fundamental HS (Orangevale CA),Trace Robert,coquitr01
37,Francisco Cordero,24.083,Aug 2,Aug 1 2012,1,DET,16.9,6-3,245,R,R,May 11 1975,Santo Domingo Distrito Nacional DO,Signed by the Detroit Tigers as an amateur free agent in 1994.,,Colegio Luz de Arroyo Hondo (Dominican Republic),Francisco Javier,cordefr01
38,David Cortés,25.319,Aug 30,Jul 13 2006,/1,ATL,0.8,5-11,195,R,R,Oct 15 1973,Mexicali Baja California MX,Signed by the Atlanta Braves as an amateur free agent in 1996.,Imperial Valley College (Imperial CA),El Centro HS (El Centro CA),David Cardenas,corteda01
39,Darron Cox,31.136,Apr 6,Jun 26 1999,2/H,MON,0.0,6-1,205,R,R,Nov 21 1967,Oklahoma City OK US,Drafted by the Cincinnati Reds in the 5th round of the 1989 amateur draft. Player signed June 10 1989.,University of Oklahoma (Norman OK),Mustang HS (Mustang OK),James Darron,coxda02
40,Steve Cox,24.323,Sep 19,Sep 25 2002,/37H,TBD,1.7,6-4,225,L,L,Oct 31 1974,Delano CA US,Drafted by the Oakland Athletics in the 5th round of the 1992 amateur draft. Player signed June 2 1992.,,Monache HS (Porterville CA),Charles Steven,coxst01
41,Carl Dale,26.274,Sep 7,Sep 26 1999,/1,MIL,-0.4,6-2,215,R,R,Dec 7 1972,Indianapolis IN US,Drafted by the St. Louis Cardinals in the 2nd round of the 1994 amateur draft. Player signed June 10 1994.,Winthrop University (Rock Hill SC),Cookeville HS (Cookeville TN),James Carl,daleca01
42,Pat Daneker,23.169,Jul 2,Jul 19 1999,/1,CHW,0.2,6-3,195,R,R,Jan 14 1976,Williamsport PA US,Drafted by the Chicago White Sox in the 5th round of the 1997 amateur draft. Player signed June 20 1997.,University of Virginia (Charlottesville VA),Loyalsock Township HS (Williamsport PA),Patrick Rees,danekpa01
43,Mike Darr,23.063,May 23,Oct 7 2001,9/H8,SDP,2.5,6-3,205,L,R,Mar 21 1976,Corona CA US,Drafted by the Detroit Tigers in the 2nd round of the 1994 amateur draft. Player signed June 18 1994.,,Corona HS (Corona CA),Michael Curtis,darrmi02
44,Jeff DaVanon,25.273,Sep 7,Sep 30 2007,/7D9H,ANA,5.2,6-0,185,B,R,Dec 8 1973,San Diego CA US,Drafted by the Oakland Athletics in the 26th round of the 1995 amateur draft. Player signed June 8 1995.,San Diego State University (San Diego CA),Bellaire HS (Bellaire TX),Jeffrey Graham,davanje02
45,Joe Davenport,23.118,Jul 20,Apr 28 2001,/1,CHW,0.2,6-5,225,R,R,Mar 24 1976,Chicago IL US,Drafted by the Toronto Blue Jays in the 13th round of the 1994 amateur draft. Player signed June 6 1994.,,Santana HS (Santee CA),Joseph Jonathan,davenjo01
46,Tom Davey,25.207,Apr 6,Aug 24 2002,1,TOR,0.6,6-7,215,R,R,Sep 11 1973,Garden City MI US,Drafted by the Toronto Blue Jays in the 5th round of the 1994 amateur draft. Player signed June 3 1994.,Henry Ford Community College (Dearborn MI),Plymouth Salem HS (Canton MI),Thomas Joseph,daveyto01
47,Cleatus Davidson,22.210,May 30,Sep 17 1999,/4H6D,MIN,-0.1,5-10,170,B,R,Nov 1 1976,Bartow FL US,Drafted by the Minnesota Twins in the 2nd round of the 1994 amateur draft. Player signed July 1 1994.,,Lake Wales HS (Lake Wales FL),Cleatus Lavon,davidcl02
48,Doug Davis,23.322,Aug 9,Jun 28 2011,/1,TEX,18.4,6-4,215,R,L,Sep 21 1975,Sacramento CA US,Drafted by the Texas Rangers in the 10th round of the 1996 amateur draft. Player signed June 21 1996.,City College of San Francisco (San Francisco CA) Diablo Valley College (Pleasant Hill CA),North Gate HS (Pleasant Hill CA) Northgate HS (Walnut Creek CA),Douglas,davisdo02
49,Tommy Davis,25.358,May 14,May 30 1999,/23H,BAL,-0.1,6-1,195,R,R,May 21 1973,Mobile AL US,Drafted by the Baltimore Orioles in the 2nd round of the 1994 amateur draft. Player signed June 15 1994.,University of Southern Mississippi (Hattiesburg MS),Montgomery HS (Montgomery AL),Thomas James,davisto03
50,Travis Dawkins,20.114,Sep 3,Jul 23 2003,/6H,CIN,-1.2,6-1,180,R,R,May 12 1979,Newberry SC US,Drafted by the Cincinnati Reds in the 2nd round of the 1997 amateur draft. Player signed June 8 1997.,,Newberry HS (Newberry SC),Travis Sentell,dawkitr01
51,Miguel Del Toro,26.288,Apr 6,Oct 1 2000,1,SFG,0.2,6-1,160,R,R,Jun 22 1972,San Ignacio Sonora MX,Signed by the Pittsburgh Pirates as an amateur free agent in 1992.,,Obregon HS (Mexico Mexico),Miguel,deltomi01
52,Jason Dellaero,22.264,Sep 7,Oct 3 1999,6,CHW,-0.9,6-2,195,B,R,Dec 17 1976,Mount Kisco NY US,Drafted by the Chicago White Sox in the 1st round (15th pick) of the 1997 amateur draft. Player signed June 24 1997.,University of South Florida (Tampa FL),Brewster HS (Brewster NY),Jason Christopher,dellaja01
53,Sean DePaula,25.297,Aug 31,Aug 1 2002,1,CLE,-0.4,6-4,215,R,R,Nov 7 1973,Newton MA US,Drafted by the Cleveland Indians in the 9th round of the 1996 amateur draft. Player signed June 7 1996.,Wake Forest University (Winston-Salem NC),Cardinal Cushing Central HS (Boston MA) Cushing Academy (Ashburnham MA),Sean Michael,depause01
54,Octavio Dotel,25.213,Jun 26,Apr 19 2013,1,NYM,15.2,6-0,230,R,R,Nov 25 1973,Santo Domingo Distrito Nacional DO,Signed by the New York Mets as an amateur free agent in 1993.,,Liceo Eansino Afuera (Santo Domingo Dominican Republic),Octavio Eduardo,doteloc01
55,Kelly Dransfeldt,24.015,May 1,Jun 19 2004,6,TEX,-0.6,6-2,195,R,R,Apr 16 1975,Joliet IL US,Drafted by the Texas Rangers in the 4th round of the 1996 amateur draft. Player signed June 9 1996.,University of Michigan (Ann Arbor MI),Morris Community HS (Morris IL),Kelly Daniel,dranske01
56,Erubiel Durazo,25.184,Jul 26,May 24 2005,3H,ARI,9.1,6-3,240,L,L,Jan 23 1974,Hermosillo Sonora MX,,Pima Community College (Tucson AZ),Monterey (Monterey Mexico),Erubiel,durazer01
57,Chad Durbin,21.297,Sep 26,May 30 2013,/1,KCR,-0.8,6-2,225,R,R,Dec 3 1977,Spring Valley IL US,Drafted by the Kansas City Royals in the 3rd round of the 1996 amateur draft. Player signed June 5 1996.,,Woodlawn HS (Baton Rouge LA),Chad Griffin,durbich01
58,Trent Durrington,23.344,Aug 6,Sep 28 2005,4/HD,ANA,-1.6,5-10,185,R,R,Aug 27 1975,Sydney New South Wales AU,Signed by the California Angels as an amateur free agent in 1994.,,The Southport School (Southport Australia),Trent John,durritr01
59,Derrin Ebert,22.228,Apr 6,Oct 2 1999,/1,ATL,-0.1,6-3,200,R,L,Aug 21 1976,Anaheim CA US,Drafted by the Atlanta Braves in the 18th round of the 1994 amateur draft. Player signed June 12 1994.,,Hesperia HS (Hesperia CA),Derrin Lee,ebertde01
60,Horacio Estrada,23.197,May 4,Jul 21 2001,/1,MIL,-0.6,6-1,185,L,L,Oct 19 1975,San Joaquin Carabobo VE,Signed by the Milwaukee Brewers as an amateur free agent in 1992.,,Domingo Segado (San Joaquin Venezuela),Horacio,estraho01
61,Brian Falkenborg,21.256,Oct 1,Sep 5 2008,/1,BAL,-0.8,6-7,235,R,R,Jan 18 1978,Newport Beach CA US,Drafted by the Baltimore Orioles in the 2nd round of the 1996 amateur draft. Player signed July 6 1996.,,Redmond HS (Redmond WA),Brian Thomas,falkebr01
62,Kyle Farnsworth,23.015,Apr 29,Jun 25 2014,1,CHC,6.2,6-4,230,R,R,Apr 14 1976,Wichita KS US,Drafted by the Chicago Cubs in the 47th round of the 1994 amateur draft. Player signed May 12 1995.,Abraham Baldwin Agricultural College (Tifton GA),Milton HS (Milton GA),Kyle Lynn,farnsky01
63,José Fernández,24.243,Jul 3,Sep 29 2001,/5H,MON,-0.9,6-3,220,R,R,Nov 2 1974,La Vega La Vega DO,Signed by the Montreal Expos as an amateur free agent in 1993.,Universidad Madre y Maestra (Santiago Dominican Republic),Instituto Evangelico (Dominican Republic),José Mayobanex,fernajo01
64,Ryan Franklin,26.071,May 15,Jun 28 2011,/1,SEA,11.5,6-3,190,R,R,Mar 5 1973,Fort Smith AR US,Drafted by the Seattle Mariners in the 23rd round of the 1992 amateur draft. Player signed May 21 1993.,Seminole State College (Seminole OK),Spiro HS (Spiro OK),Ryan Ray,frankry01
65,Éric Gagné,23.243,Sep 7,Sep 25 2008,/1,LAD,11.7,6-2,195,R,R,Jan 7 1976,Montreal QC CA,Signed by the Los Angeles Dodgers as an amateur free agent in 1995.,Seminole State College (Seminole OK),Polyvalente Edouard Montpetit (Montreal QC),Éric Serge,gagneer01
66,Amaury García,24.046,Jul 5,Oct 3 1999,/4H,FLA,0.2,5-10,160,R,R,May 20 1975,Santo Domingo Distrito Nacional DO,Signed by the Florida Marlins as an amateur free agent in 1992.,,Santo Domingo (Santo Domingo Dominican Republic),Amaury Miguel,garciam01
67,Freddy García,22.183,Apr 7,Sep 24 2013,1/H,SEA,34.2,6-4,250,R,R,Oct 6 1976,Caracas Distrito Federal VE,Signed by the Houston Astros as an amateur free agent in 1993.,,Baruta (Baruta Venezuela),Freddy Antonio,garcifr03
68,Jesse Garcia,25.193,Apr 5,May 8 2005,/64H5D,BAL,-0.8,5-10,155,R,R,Sep 24 1973,Corpus Christi TX US,Drafted by the Baltimore Orioles in the 26th round of the 1993 amateur draft. Player signed June 9 1993.,Lee College (Baytown TX),Robstown HS (Robstown TX),Jesus Jesse,garcije01
69,Luis Garcia,23.320,Apr 5,May 3 1999,/6H4,DET,-0.2,6-0,175,R,R,May 20 1975,San Francisco de Macoris Duarte DO,Signed by the Detroit Tigers as an amateur free agent in 1993.,,San Francisco de Macoris (San Francisco de Macoris Dominican Republic),Luis Rafael,garcilu01
70,Mike Garcia,31.122,Sep 10,May 20 2000,/1,PIT,-0.6,6-2,220,R,R,May 11 1968,Riverside CA US,Drafted by the Detroit Tigers in the 55th round of the 1989 amateur draft.,Riverside City College (Riverside CA),John W. North HS (Riverside CA),Michael R.,garcimi03
71,Gary Glover,22.301,Sep 30,Sep 29 2008,/1,TOR,1.2,6-5,200,R,R,Dec 3 1976,Cleveland OH US,Drafted by the Toronto Blue Jays in the 15th round of the 1994 amateur draft. Player signed June 27 1994.,,DeLand HS (DeLand FL),John Gary,glovega01
72,Ryan Glynn,24.196,May 16,Jul 6 2005,1,TEX,-0.7,6-3,195,R,R,Nov 1 1974,Portsmouth VA US,Drafted by the Texas Rangers in the 4th round of the 1995 amateur draft. Player signed July 1 1995.,Virginia Military Institute (Lexington VA),Churchland HS (Portsmouth VA),Ryan David,glynnry01
73,Wiki González,25.089,Aug 14,May 24 2006,2H,SDP,1.5,5-11,175,R,R,May 17 1974,Aragua Aragua VE,Signed by the Pittsburgh Pirates as an amateur free agent in 1992.,,Aragua (Aragua Venezuela),Wiklenman Vicente,gonzawi01
74,Beiker Graterol,24.151,Apr 9,Apr 9 1999,/1,DET,-0.3,6-2,165,R,R,Nov 9 1974,Barquisimeto Lara VE,Signed by the Toronto Blue Jays as an amateur free agent in 1992.,,Barquisimeto (Barquisimeto Venezuela),Beiker,gratebe01
75,Rick Greene,28.168,Jun 19,Jun 19 1999,/1,CIN,-0.1,6-5,200,R,R,Jan 2 1971,Fort Knox KY US,Drafted by the Detroit Tigers in the 1st round (16th pick) of the 1992 amateur draft. Player signed August 17 1992.,Louisiana State University (Baton Rouge LA),Coral Gables HS (Coral Gables FL),Richard Douglas,greenri02
76,Creighton Gubanich,27.020,Apr 16,Jul 23 1999,2/D5H,BOS,0.2,6-3,200,R,R,Mar 27 1972,Belleville NJ US,Drafted by the Oakland Athletics in the 6th round of the 1990 amateur draft. Player signed August 6 1990.,,Phoenixville HS (Phoenixville PA),Creighton Wade,gubancr01
77,Cristian Guzmán,21.016,Apr 6,Sep 8 2010,*6/H,MIN,12.6,6-0,180,B,R,Mar 21 1978,Santo Domingo Distrito Nacional DO,Signed by the New York Yankees as an amateur free agent in 1994.,,Santo Domingo (Santo Domingo Dominican Republic),Cristian,guzmacr01
78,Domingo Guzmán,24.157,Sep 9,Jun 7 2000,/1,SDP,-0.6,6-0,210,R,R,Apr 5 1975,San Cristobal San Cristobal DO,Signed by the San Diego Padres as an amateur free agent in 1993.,,San Cristobal (San Cristobal Dominican Republic),Domingo Serrano,guzmado01
79,Edwards Guzmán,22.207,Apr 6,Sep 28 2003,/H52,SFG,-2.2,5-11,205,L,R,Sep 11 1976,Bayamon PR,Drafted by the San Francisco Giants in the 50th round of the 1995 amateur draft. Player signed September 11 1995.,Inter American University of Puerto Rico (Naranjito Puerto Rico),Naranjito (Naranjito Puerto Rico),Edwards,guzmaed01
80,Yamid Haad,21.306,Jul 5,Oct 1 2005,/H,PIT,-0.5,6-2,204,R,R,Sep 2 1977,Cartagena Bolivar CO,Signed by the Pittsburgh Pirates as an amateur free agent in 1994.,,Cartagena (Cartagena Colombia),Yamid Salcedo,haadya01
81,Luther Hackman,24.326,Sep 1,Sep 27 2003,/1,COL,-1.8,6-4,195,R,R,Oct 10 1974,Columbus MS US,Drafted by the Colorado Rockies in the 6th round of the 1994 amateur draft. Player signed June 4 1994.,,Columbus HS (Columbus MS),Luther Gean,hackmlu01
82,Chad Harville,22.280,Jun 23,Aug 12 2006,1,OAK,-1.0,5-9,180,R,R,Sep 16 1976,Selmer TN US,Drafted by the Oakland Athletics in the 2nd round of the 1997 amateur draft. Player signed June 19 1997.,University of Memphis (Memphis TN),Hardin County HS (Savannah TN),Chad Ashley,harvich01
83,Rick Heiserman,26.090,May 23,Aug 17 1999,/1,STL,-0.2,6-7,225,R,R,Feb 22 1973,Atlantic IA US,Drafted by the Cleveland Indians in the 3rd round of the 1994 amateur draft. Player signed June 27 1994.,Creighton University (Omaha NE),Millard South HS (Omaha NE),Richard Michael,heiseri01
84,Bret Hemphill,27.193,Jun 28,Oct 3 1999,2,ANA,-0.1,6-3,200,B,R,Dec 17 1971,Santa Clara CA US,Drafted by the California Angels in the 14th round of the 1994 amateur draft. Player signed June 12 1994.,California State University Fullerton (Fullerton CA),Cupertino HS (Cupertino CA),Bret Ryan,hemphbr01
85,Matt Herges,29.124,Aug 3,Oct 4 2009,1,LAD,6.1,6-0,200,L,R,Apr 1 1970,Champaign IL US,Signed by the Los Angeles Dodgers as an amateur free agent in 1992.,Illinois State University (Normal IL),Centennial HS (Champaign IL),Matthew Tyler,hergema01
86,Chad Hermansen,21.362,Sep 7,Apr 17 2004,/897H,PIT,-3.6,6-2,185,R,R,Sep 10 1977,Salt Lake City UT US,Drafted by the Pittsburgh Pirates in the 1st round (10th pick) of the 1995 amateur draft. Player signed June 2 1995.,,Green Valley HS (Henderson NV),Chad Bruce,hermach01
87,Carlos Hernández,23.165,May 26,Apr 26 2000,H/46,HOU,-0.2,5-9,175,R,R,Dec 12 1975,Caracas Distrito Federal VE,Signed by the Houston Astros as an amateur free agent in 1992.,,Caracas (Caracas Venezuela),Carlos Eduardo,hernaca02
88,Ramón Hernández,23.040,Jun 29,Jun 12 2013,2,OAK,22.0,6-0,220,R,R,May 20 1976,Caracas Distrito Federal VE,Signed by the Oakland Athletics as an amateur free agent in 1994.,,Cumana (Cumana Venezuela),Ramón José,hernara02
89,Erik Hiljus,26.259,Sep 10,May 29 2002,/1,DET,1.0,6-5,230,R,R,Dec 25 1972,Panorama City CA US,Drafted by the New York Mets in the 4th round of the 1991 amateur draft. Player signed June 11 1991.,,Canyon HS (Santa Clarita CA),Erik Kristian,hiljuer01
90,Brett Hinchliffe,24.258,Apr 5,Apr 26 2001,1,SEA,-1.0,6-5,190,R,R,Jul 21 1974,Detroit MI US,Drafted by the Seattle Mariners in the 16th round of the 1992 amateur draft. Player signed June 4 1992.,,Bishop Gallagher HS (Detroit MI),Brett,hinchbr01
91,Tim Hudson,23.329,Jun 8,Oct 1 2015,1/HD,OAK,57.9,6-1,175,R,R,Jul 14 1975,Columbus GA US,Drafted by the Oakland Athletics in the 6th round of the 1997 amateur draft. Player signed June 13 1997.,Chattahoochee Valley Community College (Phenix City AL) Auburn University (Auburn AL),Glenwood HS (Phenix City AL),Timothy Adam,hudsoti01
